iter	RMSE
250	8.293954177
251	8.291242966
252	8.288445023
253	8.285380074
254	8.281791975
255	8.278081355
256	8.275358632
257	8.27296108
258	8.27095654
259	8.26680559
260	8.26349257
261	8.260594758
262	8.258505362
263	8.254651542
264	8.249210569
265	8.246239667
266	8.241395137
267	8.238011693
268	8.234462036
269	8.231564097
270	8.229334284
271	8.226538284
272	8.222683852
273	8.220726112
274	8.216174634
275	8.213923673
276	8.211666419
277	8.207242457
278	8.204822403
279	8.20062282
280	8.196681088
281	8.194769783
282	8.191322676
283	8.186789482
284	8.183950629
285	8.180756788
286	8.176667046
287	8.172960089
288	8.170808892
289	8.167011273
290	8.164907491
291	8.161183057
292	8.159478894
293	8.15620788
294	8.153906791
295	8.149873163
296	8.146869144
297	8.144049986
298	8.140239412
299	8.138218141
300	8.135040592
301	8.132096763
302	8.129181
303	8.126070366
304	8.12095635
305	8.117728277
306	8.113625034
307	8.111889744
308	8.107860139
309	8.104429736
310	8.102211236
311	8.09975715
312	8.095114421
313	8.091157646
314	8.088411555
315	8.086015016
316	8.082693217
317	8.081069164
318	8.079298824
319	8.076634728
320	8.072986501
321	8.068529686
322	8.065614916
323	8.062366391
324	8.059279287
325	8.057161772
326	8.054773426
327	8.051697153
328	8.049347525
329	8.046466537
330	8.042162052
331	8.039681752
332	8.037887257
333	8.034453435
334	8.031787438
335	8.030024776
336	8.027497546
337	8.024461771
338	8.020161473
339	8.017428698
340	8.015173367
341	8.012196457
342	8.009199003
343	8.007148428
344	8.004220999
345	8.001064881
346	7.99667602
347	7.993500542
348	7.992350177
349	7.990147219
350	7.988126764
351	7.985627692
352	7.983427609
353	7.980160918
354	7.977162288
355	7.974285975
356	7.973334053
357	7.971959506
358	7.969439273
359	7.967162407
360	7.963750708
361	7.961493343
362	7.958773836
363	7.955962948
364	7.952944589
365	7.949967911
366	7.947227051
367	7.943950434
368	7.941780786
369	7.938902914
370	7.936531538
371	7.934046411
372	7.931339143
373	7.929995798
374	7.928032621
375	7.924837721
376	7.922865984
377	7.920745608
378	7.918825488
379	7.915892187
380	7.913512482
381	7.911916221
382	7.909850569
383	7.907530347
384	7.905748145
385	7.902675189
386	7.901045921
387	7.898513838
388	7.896860999
389	7.895040712
390	7.892025255
391	7.889797062
392	7.888094383
393	7.886684275
394	7.885675061
395	7.882794317
396	7.880891742
397	7.878659628
398	7.876080483
399	7.872875487
400	7.870747078
401	7.86938653
402	7.866972259
403	7.863751771
404	7.860207181
405	7.858029476
406	7.8563751
407	7.853699348
408	7.851326983
409	7.848813419
410	7.847652357
411	7.846009116
412	7.843720056
413	7.841719804
414	7.839029476
415	7.837051022
416	7.835250774
417	7.833280603
418	7.8315312
419	7.829827316
420	7.828060881
421	7.825804919
422	7.824088817
423	7.820473546
424	7.817874114
425	7.81569178
426	7.814643109
427	7.813519274
428	7.812406005
429	7.810574626
430	7.808617375
431	7.806197862
432	7.804372244
433	7.801616071
434	7.799389206
435	7.7972449
436	7.795499169
437	7.792710518
438	7.790270943
439	7.788167553
440	7.786819414
441	7.784106021
442	7.782252567
443	7.779776692
444	7.777729669
445	7.77486941
446	7.772641025
447	7.770296893
448	7.768526473
449	7.765445839
450	7.763867849
451	7.76132245
452	7.759630375
453	7.758178482
454	7.757246823
455	7.755297927
456	7.753284036
457	7.751822374
458	7.749938937
459	7.748902108
460	7.747285426
461	7.745553971
462	7.744003933
463	7.741917091
464	7.739576825
465	7.737675222
466	7.736136433
467	7.734428496
468	7.732597255
469	7.730961233
470	7.728978156
471	7.727222552
472	7.725327023
473	7.723722539
474	7.722075069
475	7.720388999
476	7.718781742
477	7.717097864
478	7.715281
479	7.713863947
480	7.711776746
481	7.709520951
482	7.708778628
483	7.707578719
484	7.706242749
485	7.70490855
486	7.703302308
487	7.701104101
488	7.699915597
489	7.697590853
490	7.694968505
491	7.692620667
492	7.691117865
493	7.689457047
494	7.687145773
495	7.685284476
496	7.682512972
497	7.681230738
498	7.679030188
499	7.676359093
500	7.673682525
501	7.673444277
502	7.671794737
503	7.669970804
504	7.668705293
505	7.667240818
506	7.665872557
507	7.664644574
508	7.663509076
509	7.661985772
510	7.660560157
511	7.658451741
512	7.656405023
513	7.655454408
514	7.65388692
515	7.652205497
516	7.650799903
517	7.649258951
518	7.648230371
519	7.646435685
520	7.64494282
521	7.642342198
522	7.639924366
523	7.638246524
524	7.636598862
525	7.634854816
526	7.63248486
527	7.63121558
528	7.629708969
529	7.628573665
530	7.625665217
531	7.623379049
532	7.621477161
533	7.620346526
534	7.618965044
535	7.618045596
536	7.616800066
537	7.615951931
538	7.614543402
539	7.612849924
540	7.610434738
541	7.608306134
542	7.606904233
543	7.604416169
544	7.60173424
545	7.600276897
546	7.598453304
547	7.596193406
548	7.594067563
549	7.5920127
550	7.589608189
551	7.588148996
552	7.586192086
553	7.584614073
554	7.583369378
555	7.581282689
556	7.579639078
557	7.577723368
558	7.57509494
559	7.573220564
560	7.571780287
561	7.569558871
562	7.567433193
563	7.565442877
564	7.563285759
565	7.56148303
566	7.559584759
567	7.558437482
568	7.556798249
569	7.555404154
570	7.552773275
571	7.551273801
572	7.549556732
573	7.546886339
574	7.544486921
575	7.54275644
576	7.540468337
577	7.538991289
578	7.537533055
579	7.53604253
580	7.53501012
581	7.533508617
582	7.531739332
583	7.530298451
584	7.529118303
585	7.526794769
586	7.524621999
587	7.523398843
588	7.521274827
589	7.519780096
590	7.517572252
591	7.516437929
592	7.514900873
593	7.513088988
594	7.51151645
595	7.509258684
596	7.506902141
597	7.505595237
598	7.503864862
599	7.502856328
600	7.501683337
601	7.500858356
602	7.498645416
603	7.497499812
604	7.496613531
605	7.495620304
606	7.494350224
607	7.493712348
608	7.491940774
609	7.490089646
610	7.488593414
611	7.487041944
612	7.485960478
613	7.484221064
614	7.48207989
615	7.480539134
616	7.477836896
617	7.475858048
618	7.475093716
619	7.473324379
620	7.47215537
621	7.470887556
622	7.469510055
623	7.468526482
624	7.466941233
625	7.464882757
626	7.463083031
627	7.461431719
628	7.460178245
629	7.458815312
630	7.458117035
631	7.455539604
632	7.454483223
633	7.452639184
634	7.451065269
635	7.449911033
636	7.447936379
637	7.446410953
638	7.445193912
639	7.443645113
640	7.441966879
641	7.440578437
642	7.438014597
643	7.436746217
644	7.435698375
645	7.434692713
646	7.433090197
647	7.431390612
648	7.43000073
649	7.42823093
650	7.42704338
651	7.425485946
652	7.424074815
653	7.423536474
654	7.4228031
655	7.421631247
656	7.420586853
657	7.418955988
658	7.417624387
659	7.415810573
660	7.414735522
661	7.413845635
662	7.41220209
663	7.411518346
664	7.409829469
665	7.409295631
666	7.408086454
667	7.407685102
668	7.40648216
669	7.404891709
670	7.40412623
671	7.40309281
672	7.401276467
673	7.400126736
674	7.398708883
675	7.396850843
676	7.395916445
677	7.394353895
678	7.392435444
679	7.391219945
680	7.389749323
681	7.388598851
682	7.387149129
683	7.385879967
684	7.384706195
685	7.383336921
686	7.381714033
687	7.380834773
688	7.379115331
689	7.377281607
690	7.376134637
691	7.374813425
692	7.373396729
693	7.371497169
694	7.370170104
695	7.368603418
696	7.367868768
697	7.366227853
698	7.364881183
699	7.363531708
700	7.361405488
701	7.360512477
702	7.358689529
703	7.357586989
704	7.356260043
705	7.354805621
706	7.353672793
707	7.351424089
708	7.350473516
709	7.349225517
710	7.347892776
711	7.346126606
712	7.345203874
713	7.343660799
714	7.342492485
715	7.341539981
716	7.340126705
717	7.338718908
718	7.337535404
719	7.336912187
720	7.335803365
721	7.334387297
722	7.333524882
723	7.332092384
724	7.330965622
725	7.329547123
726	7.327648017
727	7.32630399
728	7.325187016
729	7.324032569
730	7.32314682
731	7.321017532
732	7.319753287
733	7.318545683
734	7.31758623
735	7.31604914
736	7.314446759
737	7.31277511
738	7.311180279
739	7.30973798
740	7.307441107
741	7.306471406
742	7.304844818
743	7.302797785
744	7.301182733
745	7.300006321
746	7.298812915
747	7.297538287
748	7.296824143
749	7.296118012
750	7.294616412
751	7.292693753
752	7.291775778
753	7.290926399
754	7.289985152
755	7.288814673
756	7.287506248
757	7.286440381
758	7.284521475
759	7.283263092
760	7.282069926
761	7.280152013
762	7.278699706
763	7.277368465
764	7.275773818
765	7.274382368
766	7.272774123
767	7.271326326
768	7.270191508
769	7.268918171
770	7.267497746
771	7.266243344
772	7.264967694
773	7.264074063
774	7.262851568
775	7.261825303
776	7.261128356
777	7.260043089
778	7.258631154
779	7.257927117
780	7.257018072
781	7.255968718
782	7.254371945
783	7.253258626
784	7.252281721
785	7.251024951
786	7.250070651
787	7.249010896
788	7.247631926
789	7.246425027
790	7.245184788
791	7.243903313
792	7.242889511
793	7.241813439
794	7.239914189
795	7.238550355
796	7.237440794
797	7.236476671
798	7.235124153
799	7.234298361
800	7.233535566
801	7.232705759
802	7.231787713
803	7.230593187
804	7.229712979
805	7.228449465
806	7.227721189
807	7.226692044
808	7.225535614
809	7.223748755
810	7.222557395
811	7.221773147
812	7.219961325
813	7.219215553
814	7.218113552
815	7.21737436
816	7.216428595
817	7.214682911
818	7.213128556
819	7.211793473
820	7.210895097
821	7.210089877
822	7.208898697
823	7.207692989
824	7.206462744
825	7.205614584
826	7.204927145
827	7.203951187
828	7.20254889
829	7.201151585
830	7.200295086
831	7.198711627
832	7.198006128
833	7.197110237
834	7.19626459
835	7.194680729
836	7.193844889
837	7.192518045
838	7.191556717
839	7.190902557
840	7.188779343
841	7.187090598
842	7.185493281
843	7.184728447
844	7.182947069
845	7.181882214
846	7.180568587
847	7.179603694
848	7.178901344
849	7.178000844
850	7.176786931
851	7.175886179
852	7.174786122
853	7.173888955
854	7.173043516
855	7.171840208
856	7.170896459
857	7.169806237
858	7.168274254
859	7.166917462
860	7.165676564
861	7.164922984
862	7.164134642
863	7.162789287
864	7.162158585
865	7.161168636
866	7.159617556
867	7.158705406
868	7.157781312
869	7.156874342
870	7.156060718
871	7.154869376
872	7.153646838
873	7.152957918
874	7.152141411
875	7.150552656
876	7.148705201
877	7.148133441
878	7.146798677
879	7.145208669
880	7.144313155
881	7.143176439
882	7.14205158
883	7.140950162
884	7.139736216
885	7.138524004
886	7.13745105
887	7.136644679
888	7.134974134
889	7.133685775
890	7.131984257
891	7.131037592
892	7.129801894
893	7.128448628
894	7.127746794
895	7.126795486
896	7.126193515
897	7.125461261
898	7.124621235
899	7.12352296
900	7.122626466
901	7.121840693
902	7.121180656
903	7.119882257
904	7.118862138
905	7.118219604
906	7.117481476
907	7.115872647
908	7.114963203
909	7.11397059
910	7.112928853
911	7.11196241
912	7.111027591
913	7.109795236
914	7.108365014
915	7.107135628
916	7.106292795
917	7.104994134
918	7.103643898
919	7.102636502
920	7.101887659
921	7.100737181
922	7.098920829
923	7.097688733
924	7.097030745
925	7.09567279
926	7.094698823
927	7.093702671
928	7.092975279
929	7.09203829
930	7.091066663
931	7.090262855
932	7.08923256
933	7.088532893
934	7.087127453
935	7.086112653
936	7.085588435
937	7.084629018
938	7.0832843
939	7.082727341
940	7.081970489
941	7.081121806
942	7.080126626
943	7.079478928
944	7.078846048
945	7.077702712
946	7.076625685
947	7.075059146
948	7.074079552
949	7.073044982
950	7.072012329
951	7.071167119
952	7.070586386
953	7.069618983
954	7.068758232
955	7.067972311
956	7.066191479
957	7.06499535
958	7.063968306
959	7.06326007
960	7.062085482
961	7.060307907
962	7.058792454
963	7.057133973
964	7.055823759
965	7.054968403
966	7.053365769
967	7.051816042
968	7.050936098
969	7.049582279
970	7.04887949
971	7.047933263
972	7.046498332
973	7.045549301
974	7.045019484
975	7.044160196
976	7.043527411
977	7.043178381
978	7.04271534
979	7.042173291
980	7.041362863
981	7.039897278
982	7.039293843
983	7.038711275
984	7.037617739
985	7.036583533
986	7.035789745
987	7.035128057
988	7.03418493
989	7.03366997
990	7.032725952
991	7.031472049
992	7.030811422
993	7.029341674
994	7.028365895
995	7.027434189
996	7.02644804
997	7.025674314
998	7.024354404
999	7.023420931
